"Site Crawled","https://cybervadis.com/"
"Start Date","2026-05-25"
"Start Time","10:26:43"
"Last Modified Date","2026-05-25"
"Last Modified Time","10:27:50"
"Elapsed","00:01:05"
"Report Date","2026-05-25"
"Report Time","10:27:50"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Total URLs Encountered","556","100.00%","556","URLs Encountered"
"Total URLs Crawled","555","99.82%","556","URLs Encountered"
"Total Internal blocked by robots.txt","0","0.00%","556","URLs Encountered"
"Total External blocked by robots.txt","1","0.18%","556","URLs Encountered"
""
"URLs Displayed","556","100.00%","556","URLs Displayed"
"Total Internal URLs","377","67.81%","556","URLs Displayed"
"Total External URLs","179","32.19%","556","URLs Displayed"
"Total Internal Indexable URLs","176","31.65%","556","URLs Displayed"
"Total Internal Non-Indexable URLs","201","36.15%","556","URLs Displayed"
""
"Internal"
"All","377","100.00%","377","Internal URLs"
"HTML","186","49.34%","377","Internal URLs"
"JavaScript","1","0.27%","377","Internal URLs"
"CSS","3","0.80%","377","Internal URLs"
"Images","0","0.00%","377","Internal URLs"
"Media","0","0.00%","377","Internal URLs"
"Fonts","0","0.00%","377","Internal URLs"
"XML","4","1.06%","377","Internal URLs"
"PDF","0","0.00%","377","Internal URLs"
"Plugins","0","0.00%","377","Internal URLs"
"Other","183","48.54%","377","Internal URLs"
"Unknown","0","0.00%","377","Internal URLs"
""
"External"
"All","179","100.00%","179","External URLs"
"HTML","60","33.52%","179","External URLs"
"JavaScript","1","0.56%","179","External URLs"
"CSS","0","0.00%","179","External URLs"
"Images","114","63.69%","179","External URLs"
"Media","0","0.00%","179","External URLs"
"Fonts","0","0.00%","179","External URLs"
"XML","0","0.00%","179","External URLs"
"PDF","0","0.00%","179","External URLs"
"Plugins","0","0.00%","179","External URLs"
"Other","3","1.68%","179","External URLs"
"Unknown","1","0.56%","179","External URLs"
""
"Security"
"All","377","100.00%","377","All internal and non-HTML external URLs"
"HTTP URLs","0","0.00%","377","All internal and non-HTML external URLs"
"HTTPS URLs","377","100.00%","377","All internal and non-HTML external URLs"
"Mixed Content","0","0.00%","377","All internal and non-HTML external URLs"
"Form URL Insecure","0","0.00%","377","All internal and non-HTML external URLs"
"Form on HTTP URL","0","0.00%","377","All internal and non-HTML external URLs"
"Unsafe Cross-Origin Links","0","0.00%","377","All internal and non-HTML external URLs"
"Protocol-Relative Resource Links","0","0.00%","377","All internal and non-HTML external URLs"
"Missing HSTS Header","0","0.00%","377","All internal and non-HTML external URLs"
"Missing Content-Security-Policy Header","0","0.00%","377","All internal and non-HTML external URLs"
"Missing X-Content-Type-Options Header","0","0.00%","377","All internal and non-HTML external URLs"
"Missing X-Frame-Options Header","0","0.00%","377","All internal and non-HTML external URLs"
"Missing Secure Referrer-Policy Header","182","48.28%","377","All internal and non-HTML external URLs"
"Bad Content Type","0","0.00%","377","All internal and non-HTML external URLs"
""
"Response Codes"
"All","556","100.00%","556","All Internal & External Crawled URLs"
"Blocked by Robots.txt","1","0.18%","556","All Internal & External Crawled URLs"
"Blocked Resource","0","0.00%","556","All Internal & External Crawled URLs"
"No Response","1","0.18%","556","All Internal & External Crawled URLs"
"Success (2xx)","348","62.59%","556","All Internal & External Crawled URLs"
"Redirection (3xx)","189","33.99%","556","All Internal & External Crawled URLs"
"Redirection (JavaScript)","0","0.00%","556","All Internal & External Crawled URLs"
"Redirection (Meta Refresh)","0","0.00%","556","All Internal & External Crawled URLs"
"Redirection (HTTP Refresh)","0","0.00%","556","All Internal & External Crawled URLs"
"Client Error (4xx)","17","3.06%","556","All Internal & External Crawled URLs"
"Server Error (5xx)","0","0.00%","556","All Internal & External Crawled URLs"
"Internal All","377","67.81%","556","All Internal Crawled URLs"
"Internal Blocked by Robots.txt","0","0.00%","556","All Internal Crawled URLs"
"Internal Blocked Resource","0","0.00%","556","All Internal Crawled URLs"
"Internal No Response","0","0.00%","556","All Internal Crawled URLs"
"Internal Success (2xx)","182","32.73%","556","All Internal Crawled URLs"
